,funded_quarter,raised_amount_usd
0,1984-Q1,32444.0
1,1987-Q1,2500000.0
2,1994-Q3,740000.0
3,1995-Q2,2000000.0
4,1995-Q3,8000000.0
5,1995-Q4,14400000.0
6,1996-Q1,12836380.0
7,1996-Q4,42000000.0
8,1997-Q1,61520000.0
9,1997-Q2,6700000.0
10,1997-Q4,67600000.0
11,1998-Q1,36000000.0
12,1998-Q2,98672800.0
13,1998-Q3,100000.0
14,1998-Q4,4000.0
15,1999-Q1,129240000.0
16,1999-Q2,240357595.0
17,1999-Q3,240277517.0
18,1999-Q4,823118000.0
19,2000-Q1,729522780.0
20,2000-Q2,2902232378.0
21,2000-Q3,946800000.0
22,2000-Q4,1448810122.0
23,2001-Q1,839510598.0
24,2001-Q2,421827892.0
25,2001-Q3,341060100.0
26,2001-Q4,503714640.0
27,2002-Q1,318382982.0
28,2002-Q2,529270302.0
29,2002-Q3,748515800.0
30,2002-Q4,627084596.0
31,2003-Q1,894826414.0
32,2003-Q2,472810754.0
33,2003-Q3,196411822.0
34,2003-Q4,646635929.0
35,2004-Q1,1871972205.0
36,2004-Q2,1587860442.0
37,2004-Q3,1282145856.0
38,2004-Q4,1428684162.0
39,2005-Q1,13214030237.0
40,2005-Q2,10365630742.0
41,2005-Q3,10906653440.0
42,2005-Q4,14232387433.0
43,2006-Q1,14955048711.0
44,2006-Q2,17291441775.0
45,2006-Q3,14867499022.0
46,2006-Q4,15802076641.0
47,2007-Q1,22558786870.0
48,2007-Q2,16617175375.0
49,2007-Q3,22938593259.0
50,2007-Q4,20992308605.0
51,2008-Q1,26893428663.0
52,2008-Q2,41452759375.0
53,2008-Q3,23539016478.0
54,2008-Q4,18346895058.0
55,2009-Q1,13324759981.0
56,2009-Q2,17443789668.0
57,2009-Q3,16663012808.0
58,2009-Q4,36777666683.0
59,2010-Q1,21439449859.0
60,2010-Q2,25611216764.0
61,2010-Q3,22054307543.0
62,2010-Q4,22602995559.0
63,2011-Q1,41865145468.0
64,2011-Q2,33942291430.0
65,2011-Q3,36282529580.0
66,2011-Q4,27362493354.0
67,2012-Q1,28089145159.0
68,2012-Q2,37272513300.0
69,2012-Q3,30766080809.0
70,2012-Q4,29304946199.0
71,2013-Q1,30954904165.0
72,2013-Q2,37331753641.0
73,2013-Q3,45790895497.0
74,2013-Q4,54176645124.0
75,2014-Q1,57004676066.0
76,2014-Q2,240014398.0
