funded_years,raised_amount_usd
1960,52736030
1984,173444
1987,2500000
1989,15000
1990,1000000
1992,0
1993,125000
1994,1740000
1995,19000000
1996,8012500
1997,74800000
1998,167609790
1999,603015573
2000,1467477148
2001,806074412
2002,769409353
2003,938289343
2004,2200265765
2005,13343014221
2006,97211353795
2007,24706240065
2008,34674627064
2009,43656872957
2010,52394688617
2011,57095895742
2012,50600929455
2013,85564918157
2014,4.69E+10
2015,4.91E+10
2016,5.13E+10
2017,5.35E+10
2018,5.58E+10
2019,5.80E+10
2020,6.02E+10
