,country_code,raised_amount_usd,contribution
96,USA,7.01694035725e+11,7.93771533626
34,GBR,32387579981.0,0.366375339152
17,CHN,25500109321.0,0.288462775124
14,CAN,20143618384.0,0.227868986244
24,DEU,14517980287.0,0.164230546233
45,IND,13117784528.0,0.148391227692
32,FRA,11253946424.0,0.127307086244
48,ISR,10143728070.0,0.11474805509
15,CHE,6870530714.0,0.0777209356787
79,RUS,4693437124.0,0.0530931801357
85,SWE,4214879991.0,0.0476796379072
29,ESP,4102101077.0,0.0464038583371
66,NLD,4091359344.0,0.0462823455204
51,JPN,3602883715.0,0.0407566031109
46,IRL,2918620030.0,0.0330160636878
4,AUS,2108234640.0,0.0238488081448
64,MYS,2095582000.0,0.023705678733
7,BEL,2006034069.0,0.0226926930882
25,DNK,1841692417.0,0.0208336246267
31,FIN,1808552233.0,0.0204587356674
13,BRA,1745223500.0,0.0197423472851
81,SGP,1505866293.0,0.0170346865724
57,LUX,1469453336.0,0.0166227752941
67,NOR,1440237450.0,0.0162922788462
5,AUT,1153723810.0,0.0130511743213
41,HKG,1125205270.0,0.0127285664027
49,ITA,845032210.0,0.00955918789593
12,BMU,815000000.0,0.00921945701357
23,CZE,697626174.0,0.0078916988009
61,MEX,469772500.0,0.00531416855204
2,ARE,451690000.0,0.00510961538462
90,TWN,346226823.0,0.00391659302036
76,PRT,303457645.0,0.00343277878959
3,ARG,281108197.0,0.00317995697964
75,POL,248686950.0,0.00281320079186
53,KOR,231490500.0,0.00261867081448
8,BGD,174055000.0,0.0019689479638
18,COL,150285500.0,0.00170006221719
28,EGY,146064000.0,0.00165230769231
44,IDN,116050000.0,0.00131278280543
74,PHL,114370114.0,0.00129377957014
30,EST,112555933.0,0.00127325716063
22,CYP,110681879.0,0.00125205745475
98,VNM,104500000.0,0.00118212669683
65,NGA,98190400.0,0.00111075113122
89,TUR,98020270.0,0.00110882658371
69,NZL,91549265.0,0.00103562516968
21,CYM,76120000.0,0.000861085972851
99,ZAF,63432000.0,0.000717556561086
16,CHL,62190000.0,0.00070350678733
50,JOR,56379000.0,0.000637771493213
52,KEN,51984923.0,0.000588064739819
43,HUN,44455945.0,0.00050289530543
86,SWZ,21141000.0,0.00023915158371
91,TZA,21000000.0,0.000237556561086
39,GRC,20420170.0,0.00023099739819
87,THA,17572000.0,0.000198778280543
9,BGR,17542874.0,0.000198448800905
11,BHS,12500000.0,0.000141402714932
47,ISL,11626840.0,0.000131525339367
101,ZWE,10000000.0,0.000113122171946
93,UKR,9896000.0,0.000111945701357
78,ROM,8428100.0,9.53404977376e-05
83,SVK,7676278.0,8.68357239819e-05
59,MAR,6400000.0,7.23981900452e-05
80,SAU,6000000.0,6.78733031674e-05
54,LBN,5977500.0,6.76187782805e-05
58,LVA,5878357.0,6.64972511312e-05
20,CSS,5615800.0,6.35271493213e-05
72,PAN,4533000.0,5.1278280543e-05
71,PAK,4200000.0,4.75113122172e-05
88,TUN,3920000.0,4.43438914027e-05
84,SVN,3124048.0,3.53399095023e-05
56,LTU,2971952.0,3.36193665158e-05
95,URY,1375000.0,1.55542986425e-05
38,GIN,1000000.0,1.13122171946e-05
63,MLT,858840.0,9.71538461538e-06
40,GTM,823600.0,9.31674208145e-06
33,FST,727250.0,8.22680995475e-06
60,MCO,657000.0,7.43212669683e-06
42,HRV,335424.0,3.79438914027e-06
36,GHA,319616.0,3.61556561086e-06
1,ANT,257320.0,2.91085972851e-06
68,NPL,200000.0,2.26244343891e-06
35,GEO,193000.0,2.18325791855e-06
19,CRI,160000.0,1.80995475113e-06
0,ALB,150000.0,1.69683257919e-06
6,AZE,120000.0,1.35746606335e-06
92,UGA,119000.0,1.34615384615e-06
73,PER,117500.0,1.32918552036e-06
82,SLV,90000.0,1.01809954751e-06
97,VEN,90000.0,1.01809954751e-06
77,PST,82353.0,9.31595022624e-07
27,ECU,80000.0,9.04977375566e-07
26,DOM,40000.0,4.52488687783e-07
55,LKA,40000.0,4.52488687783e-07
62,MKD,38484.0,4.35339366516e-07
10,BHR,20000.0,2.26244343891e-07
70,OMN,10000.0,1.13122171946e-07
94,UMI,0.0,0.0
100,ZMB,0.0,0.0
37,GIB,0.0,0.0
